Position,song,artist
1,Ride or Die   ,Joda
2,Petty (feat. Virtue) ,KIM of Diamonds
3,Unconditionally   ,"Ajebutter22, Oxlade"
4,Yafun Yafun   ,Ajebo Hustlers
5,Yote Sawa   ,Nandy
6,My Jaber (Friday) (feat. Brizy Annechild) ,H_ART THE BAND featuring Brizy Annechild
7,Cut Soap   ,Fiokee & Raybekah
8,Yktv (feat. Lady Donli) ,Ilaye
9,Gonto   ,Ibejii
10,New Couple   ,Nandy
11,Somebody (feat. Phyno) ,Olamide
12,Touch It   ,KiDi
13,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana"
14,No Wahala   ,1da Banton
15,Nimekuzoea   ,Nandy
16,Lowkey   ,Xenia Manasseh
17,Catch A Vibe   ,Karun and MOMBRU
18,Cherry (feat. Xenia Manasseh) ,Mr Eazi
19,Hapo Tu (feat. Chris Kaiga) ,Nyashinski
20,Baridi (feat. Sanaipei Tande) ,Nviiri The Storyteller featuring Sanaipei Tande
21,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley) ",Lyta
22,DADA   ,Kobi Jonz
23,Falling For U   ,"Blaq Jerzee, Mr Eazi and Harmonize"
24,Jafafa   ,Chinko Ekun & Mohbad
25,My Baby   ,Di'Ja
26,LayLow   ,Amipatra
27,FALL IN LOVE   ,Willy Paul & Miss P
28,Closer   ,Diteh
29,Believe (feat. Sarkodie & Kwesi Arthur) ,Pappy Kojo featuring Sarkodie and Kwesi Arthur
30,Tonight (feat. Adina Thembi) ,Pappy Kojo featuring Adina Thembi
31,My Heart   ,Pappy Kojo and Kuami Eugene
32,Backup n Whyne   ,Miles Stunner
33,Kitenge   ,Nviiri The Storyteller
34,Niko Sawa (feat. Bien) ,Nviiri The Storyteller featuring Bien
35,Bembeleza   ,Nviiri The Storyteller
36,Marry Me   ,"Smallgod, Harmonize"
37,We Dont Know Feat. Ayisi (feat. Ayisi) ,E.L
38,Love Cycle (feat. Davido) ,Enisa
39,Kunle   ,Ladé
40,Somebody Baby   ,Peruzzi & Davido
41,Jei Jei   ,Mr Leo
42,Shima   ,Tha Boy Myles
43,Stronger   ,Team Salut
44,Give   ,Magasco
45,Bygone   ,Skiibii
46,Chargie   ,Lykan Sensei
47,Right Here   ,"Walshy Fire, Terri, Cloud Beats"
48,Born Sinner (feat. Davido & Peruzzi) ,Mr Peak feat. Davido & Peruzzi
49,Good Thang   ,Chrystel
50,Girl From Ghana   ,The Great Eddy
51,I Like That   ,The Great Eddy
52,For Good   ,Eon Natty
53,E Choke   ,Nautyca
54,Permission   ,Damosh
55,Better Days   ,Bless Clymax ft. DTS
56,Alari   ,Liya
57,Fame   ,"Killertunes, Nissi"
58,My Chargie (feat. Ahve) ,Bizzonthetrack
59,No More (feat. Ozbeazy) ,Looking for Avala
60,in the light (feat. Ayra Starr) ,Johnny Drille featuring Ayra Starr
