rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feeling,Ladipoe,1,1,1,1,1,1,1,1
2,Bounce,Ruger,2,2,2,2,2,4,4,2.571428571
3,Southy Love (feat. Fireboy DML),Peruzzi,4,4,4,4,4,2,2,3.428571429
4,Rock (Official Video),Olamide,5,5,5,5,5,6,6,5.285714286
5,KOLO (feat. Oxlade),Ice Prince,6,6,6,6,6,8,8,6.571428571
6,All (Official Audio) (feat. Davido),Rexxie,3,3,3,3,3,16,16,6.714285714
7,Ke Star (feat. Vigro Deep),Focalistic,8,8,8,8,8,5,5,7.142857143
8,Kilometre,Burna Boy,7,7,7,7,7,9,9,7.571428571
9,Ginger (feat. Burna Boy),Wizkid,9,9,9,9,9,17,17,11.28571429
10,Coming,Naira Marley,12,12,12,12,12,11,11,11.71428571
11,High Way,Dj Kaywise,13,13,13,13,13,10,10,12.14285714
12,INJURE ME,Teni,11,11,11,11,11,20,20,13.57142857
13,Zinoleesky,MarlianMusic HQ,14,14,14,14,14,21,21,16
14,Bounse,Rema,15,15,15,15,15,24,24,17.57142857
15,Your Body,Mayorkun,20,20,20,20,20,12,12,17.71428571
16,Somebody Baby,Davido,17,17,17,17,17,22,22,18.42857143
17,All My Life (feat. Oxlade),M.I Abaga,16,16,16,16,16,25,25,18.57142857
18,Godly,Omah Lay,21,21,21,21,21,14,14,19
19,Koroba,Tiwa Savage,18,18,18,18,18,26,26,20.28571429
20,Loading (feat. Bad Boy Timz),Olamide,24,24,24,24,24,15,15,21.42857143
21,Coachella (feat. Kwesi Arthur),Sarkodie,22,22,22,22,22,23,23,22.28571429
22,Make Up Your Mind (feat. Tekno),Ice Prince,19,19,19,19,19,32,32,22.71428571
23,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,23,23,23,23,23,28,28,24.42857143
24,The Best (feat. Mayorkun),Davido,25,25,25,25,25,29,29,26.14285714
25,Verified (feat. Mayorkun),Laycon,28,28,28,28,28,30,30,28.57142857
26,Shade,Fireboy DML,30,30,30,30,30,33,33,30.85714286
27,Baajo,Joeboy,29,29,29,29,29,38,38,31.57142857
28,Onyeka (Baby),Burna Boy,32,32,32,32,32,36,36,33.14285714
29,Suzanna,Sauti Sol,31,31,31,31,31,40,40,33.57142857
30,Woman,Rema,34,34,34,34,34,37,37,34.85714286
31,Enjoy (Remix),Tekno,36,36,36,36,36,34,34,35.42857143
32,AG Baby,Nailah Blackman,35,35,35,35,35,41,41,36.71428571
33,Abule,Patoranking,33,33,33,33,33,46,46,36.71428571
34,My Bebe,Omah Lay,38,38,38,38,38,35,35,37.14285714
35,If You No Love (feat. Mayorkun),Chike,39,39,39,39,39,42,42,39.85714286
36,World People,Basketmouth,37,37,37,37,37,48,48,40.14285714
37,Spiritual (feat. Patoranking & Kuami Eugene),KiDi,40,40,40,40,40,49,49,42.57142857
38,See Love,Peruzzi,41,41,41,41,41,47,47,42.71428571
39,Dollar (feat. R2bees),DJ Spinall,44,44,44,44,44,43,43,43.71428571
40,Kilode (feat. WES7AR 22),Drvmroll,50,50,50,50,50,31,31,44.57142857
41,African Sugar (feat. Tiwa Savage),Tayc,45,45,45,45,45,44,44,44.71428571
42,French Kiss,Mr Eazi,46,46,46,46,46,45,45,45.71428571
43,Roma (feat. Terri),Wizkid,49,49,49,49,49,39,39,46.14285714
44,TBDK (feat. Erigga & Sinzu),M.I Abaga,47,47,47,47,47,50,50,47.85714286
45,Door,Joeboy,26,26,26,201,26,27,27,51.28571429
46,Tonongo,Sarz,27,27,27,27,27,201,201,76.71428571
47,MONEY DANCE,Dice Ailes,42,42,42,42,42,201,201,87.42857143
48,Fendi (feat. Joeboy),Blaqbonez,43,43,43,43,43,201,201,88.14285714
49,Dollar On You,Kuami Eugene,48,48,48,48,48,201,201,91.71428571
50,Too Correct,Crayon,201,201,201,10,10,19,19,94.42857143
51,Too Correct,Rema,10,10,10,201,201,201,201,119.1428571
52,Monalisa,Lojay,201,201,201,201,201,3,3,144.4285714
53,For You (feat. Joeboy),Ko-Jo Cue,201,201,201,201,201,7,7,145.5714286
54,Naira Marley,Zinoleesky,201,201,201,201,201,13,13,147.2857143
55,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber,201,201,201,201,201,18,18,148.7142857
56,Door,Kwesi Arthur,201,201,201,26,201,201,201,176
