Position,song,artist,album
1,Bounce,Ruger,PANDEMIC - EP
2,Feeling,"LADIPOE, Buju",Feeling - Single
3,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix] - Single
4,Rock,Olamide,UY Scuti
5,Outside,Buju,Outside - Single
6,Soundgasm,Rema,Soundgasm - Single
7,Big Thug Boys,AV,Big Thug Boys - Single
8,Confident,"Savage, Buju",Confident - Single
9,Monalisa,"Lojay, Sarz",LV N ATTN - EP
10,Essence (feat. Tems),Wizkid,Made In Lagos
11,Naira Marley,Zinoleesky,Naira Marley - Single
12,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
13,Party Next Door,"Dangbana Republik, Bella Shmurda",Party Next Door - Single
14,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
15,Show Me,Joeboy,Somewhere Between Beauty & Magic
16,Coming,"Naira Marley, Busiswa",Coming - Single
17,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
18,Jailer (feat. Jaywillz),Olamide,UY Scuti
19,Tonongo,"Lojay, Sarz",LV N ATTN - EP
20,Frenemies (feat. Oxlade),Rexxie,A True Champion
21,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
22,All (feat. Davido),Rexxie,A True Champion
23,Kilometre,Burna Boy,Kilometre - Single
24,Julie,Olamide,UY Scuti
25,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
26,It Is What It Is,Adekunle Gold,It Is What It Is - Single
27,HUSTLE,Teni,WONDALAND
28,Need For Speed,Olamide,UY Scuti
29,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
30,Somebody (feat. Phyno),Olamide,UY Scuti
31,Felony,CKay,Felony - Single
32,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
33,History,"Cheque, Fireboy DML",History - Single
34,It Ain\'t Me Tiktok (feat. Dj Abux) [Remix],Eduardo XD,It Ain\'t Me Tiktok (feat. Dj Abux) [Remix] - Single
35,PonPon (feat. Fave),Olamide,UY Scuti
36,La La (feat. CKay),Davido,A Better Time
37,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
38,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] - Single"
39,Abu Dhabi,Ruger,PANDEMIC - EP
40,Medicine,Jaywillz,Love or the Word (EP)
41,Late At Night,Roddy Ricch,Late At Night - Single
42,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
43,Focus,Joeboy,Somewhere Between Beauty & Magic
44,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
45,23,Burna Boy,Twice As Tall
46,Reckless,Wizkid,Made In Lagos
47,Bank On It,Burna Boy,Twice As Tall
48,Bounce,Rema,Bounce - Single
49,Loved By You (feat. Burna Boy),Justin Bieber,Justice
50,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
51,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
52,The Best (feat. Mayorkun),Davido,A Better Time
53,Running (To You),"Chike, Simi",Running (To You) - Single
54,RAPSTAR,Polo G,Hall of Fame
55,Oliver Twist,ArrDee,Oliver Twist - Single
56,Cup of Tea,Olamide,UY Scuti
57,Way Too Big,Burna Boy,Twice As Tall
58,Sweet One,Wizkid,Made In Lagos
59,FOR YOU (feat. Davido),Teni,WONDALAND
60,Omo X 100 (feat. Olamide),Reminisce,Omo X 100 (feat. Olamide) - Single
61,Longtime (feat. Skepta),Wizkid,Made In Lagos
62,Kpk (Ko Por Ke),"Rexxie, MohBad",Kpk (Ko Por Ke) - Single
63,No Stress,Wizkid,Made In Lagos
64,World,"Dangbana Republik, Bella Shmurda",World - Single
65,Mighty Wine,Wizkid,Made In Lagos
66,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
67,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
68,INJURE ME,Teni,WONDALAND
69,Celebrate Me,Patoranking,Celebrate Me - Single
70,Rough Up (feat. Layydoe),Olamide,UY Scuti
71,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
72,Voice of the Heroes,"Lil Baby, Lil Durk",The Voice of the Heroes
73,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,Justice
74,Kilofeshe,Zinoleesky,Kilofeshe - Single
75,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
76,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay],Justin Bieber,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay] - Single
77,Jowo,Davido,A Better Time
78,Godly,Omah Lay,What Have We Done - EP
79,Real Life (feat. Stormzy),Burna Boy,Twice As Tall
80,Hats Off,"Lil Baby, Lil Durk, Travis Scott",The Voice of the Heroes
81,Want (feat. Fave),Olamide,UY Scuti
82,My Crew (feat. Lil5ive),Kiiwii,My Crew (feat. Lil5ive) - Single
83,High Way,"DJ Kaywise, Phyno",High Way - Single
84,Rich Off Pain,"Lil Baby, Lil Durk, Rod Wave",The Voice of the Heroes
85,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
86,Ayewada,Barry Jhay,Ayewada - Single
87,Too Correct,"Crayon, Rema",Twelve A.M - EP
88,Infinity (feat. Omah Lay),Olamide,Carpe Diem
89,Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA) - Single
90,Smile (feat. H.E.R.),Wizkid,Made In Lagos
91,Ruger,Ruger,PANDEMIC - EP
92,So Much More,Olamide,UY Scuti
93,Bad Influence,Omah Lay,Get Layd - EP
94,Survive (feat. Olamide),Jaido P,Shopla - EP
95,Damages,Tems,For Broken Ears
96,Epidemic,Polo G,Hall of Fame
97,Commitment Issues,Central Cee,Wild West
98,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
99,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
100,PEPE,"L.A.X, Davido",PEPE - Single
