,song,artist,album
0,Feeling,"LADIPOE, Buju",Feeling - Single
1,Rock,Olamide,UY Scuti
2,Bounce,Ruger,PANDEMIC - EP
3,Outside,Buju,Outside - Single
4,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
5,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] - Single"
6,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
7,Coming,"Naira Marley, Busiswa",Coming - Single
8,Kilometre,Burna Boy,Kilometre - Single
9,Show Me,Joeboy,Somewhere Between Beauty & Magic
10,Essence (feat. Tems),Wizkid,Made In Lagos
11,History,"Cheque, Fireboy DML",History - Single
12,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
13,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
14,Felony,CKay,Felony - Single
15,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
16,Focus,Joeboy,Somewhere Between Beauty & Magic
17,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
18,m y . l i f e,"J. Cole, 21 Savage, Morray",The Off-Season
19,It Is What It Is,Adekunle Gold,It Is What It Is - Single
20,La La (feat. CKay),Davido,A Better Time
21,a m a r i,J. Cole,The Off-Season
22,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
23,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
24,Loved By You (feat. Burna Boy),Justin Bieber,Justice
25,Bounce,Rema,Bounce - Single
26,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",The Off-Season
27,Running (To You),"Chike, Simi",Running (To You) - Single
28,World,"Dangbana Republik, Bella Shmurda",World - Single
29,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
30,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
31,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,Justice
32,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
33,9 5 . s o u t h,J. Cole,The Off-Season
34,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
35,FOR YOU (feat. Davido),Teni,WONDALAND
36,The Best (feat. Mayorkun),Davido,A Better Time
37,23,Burna Boy,Twice as Tall
38,High Way,"DJ Kaywise, Phyno",High Way - Single
39,Commitment Issues,Central Cee,Wild West
40,INJURE ME,Teni,WONDALAND
41,Kilofeshe,Zinoleesky,Kilofeshe - Single
