,song,artist,album
0,Feeling,"LADIPOE, Buju",Feeling - Single
1,Rock,Olamide,UY Scuti
2,Bounce,Ruger,PANDEMIC - EP
3,Outside,Buju,Outside - Single
4,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
5,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
6,Coming,"Naira Marley, Busiswa",Coming - Single
7,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] - Single"
8,Kilometre,Burna Boy,Kilometre - Single
9,Essence (feat. Tems),Wizkid,Made In Lagos
10,Show Me,Joeboy,Somewhere Between Beauty & Magic
11,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
12,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
13,Felony,CKay,Felony - Single
14,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
15,It Is What It Is,Adekunle Gold,It Is What It Is - Single
16,La La (feat. CKay),Davido,A Better Time
17,Money,"Terri, Bella Shmurda, MohBad",Money - Single
18,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
19,Focus,Joeboy,Somewhere Between Beauty & Magic
20,History,"Cheque, Fireboy DML",History - Single
21,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
22,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
23,Bounce,Rema,Bounce - Single
24,Loved By You (feat. Burna Boy),Justin Bieber,Justice
25,Running (To You),"Chike, Simi",Running (To You) - Single
26,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
27,World,"Dangbana Republik, Bella Shmurda",World - Single
28,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
29,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
30,a m a r i,J. Cole,The Off-Season
31,m y . l i f e,"J. Cole, 21 Savage, Morray",The Off-Season
32,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,Justice
33,FOR YOU (feat. Davido),Teni,WONDALAND
34,The Best (feat. Mayorkun),Davido,A Better Time
35,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
36,23,Burna Boy,Twice as Tall
37,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",The Off-Season
38,High Way,"DJ Kaywise, Phyno",High Way - Single
39,Godly,Omah Lay,What Have We Done - EP
40,INJURE ME,Teni,WONDALAND
