Position,song,artist
1,Rock,Olamide
2,Feeling,Ladipoe & Buju
3,Rema - Soundgasm,Rema
4,Essence (feat. Tems),Wizkid
5,Show Me,Joeboy
6,Bling (feat. Buju & Amaarae),Blaqbonez
7,Ke Star (feat. Vigro Deep),Focalistic
8,Kilometre,Burna Boy
9,Patoranking - Celebrate Me (Official Audio),Patoranking
10,Bounce (Official Video),Ruger
11,Dimension (Official Video),JAE5
12,Forever (Remix),Gyakie & Omah Lay
13,It Is What It Is,Adekunle Gold
14,Door,Joeboy & Kwesi Arthur
15,Infinity (feat. Omah Lay),Olamide
16,23,Burna Boy
17,Felony,CKay
18,La La (Official Video) (feat. CKay),Davido
19,Godly,Omah Lay
20,LV N ATTN feat. Wizkid (feat. Wizkid),Sarz & Lojay
21,Do Yourself,Angelique Kidjo & Burna Boy
22,Bounce,Rema
23,FOR YOU (feat. Davido),Teni
24,Loco (Official Audio) (feat. Mayorkun),KDDO
25,Ginger (feat. Burna Boy),Wizkid
26,Outside,Buju
27,All My Life (feat. Oxlade),M.I Abaga
28,Somebody Baby,Davido & Peruzzi
29,Enjoy (Remix),Tekno & Mafikizolo
30,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
31,The Best (feat. Mayorkun),Davido
32,Ayra Starr - Away (Official Music Video),MavinRecords
33,Off You (Audio),KiDi & Young Jonn
34,Dancina (Official Video),Yemi Alade
35,Pronto,Ajebo Hustlers & Omah Lay
36,KOLO (feat. Oxlade),Ice Prince
37,History (feat. Fireboy DML),Cheque
38,Kilofeshe,Zinoleesky
39,Southy Love (feat. Fireboy DML),Peruzzi
40,PEPE,Davido & L.A.X
41,Coming,Naira Marley & Busiswa
42,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Sho Madjozi
43,Flex,Kizz Daniel
44,Slow Down,King Promise
45,Squander,Niniola & Falz
46,Fine Fine,Korede Bello
47,Cash App,Bella Shmurda
48,High Way,Dj Kaywise & Phyno
49,Koleyewon,Naira Marley
50,Pempe,Yemi Alade & Seyi Shay
