Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling
2,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
3,La go,Kiff No Beat,La go
4,Omo X 100,"Reminisce, Olamide",Omo X 100
5,In My Bed,"Rotimi, Wale",The Beauty of Becoming
6,Ghetto (feat. Nasty C),"Kizz Daniel, Nasty C",No Bad Songz
7,Jack,Nasty C,Jack
8,Coachella,"Sarkodie, Kwesi Arthur",Coachella
9,Decisions,"Jay Bahd, Sean Lifer",RETURN OF OKOMFO ANOKYE
10,Champion,"Fireboy Dml, D Smoke",APOLLO
11,Rise Of The Underdogs 2,"Show Dem Camp, Tomi Thomas",Rise Of The Underdogs 2
12,Best I Ever Had,Nasty C,Best I Ever Had
13,Euphoria,PsychoYP,Euphoria
14,Kokonsa,"Omar Sterling, Kwesi Arthur",Same Earth Different Worlds
15,RBG,Elzo Jamdong,RBG
16,All My Life (feat. Oxlade),"M.I Abaga, Oxlade",All My Life (feat. Oxlade)
17,My Crew,"Kiiwii, Lil5ive",My Crew (feat. Lil5ive)
18,Eazy,Nasty C,Eazy
19,Money Calling,"P Montana, Kofi Jamar, Suspect OTB",Money Calling
20,DKM (Ma Pa Mi),"Loti, PsychoYP, EESKAY, Magna.",DKM (Ma Pa Mi)
21,Heartbreaker (feat. Nasty C),"Blaqbonez, Nasty C",Sex Over Love
22,Bazenga,Ethic Entertainment,Bazenga
23,Y3 Y3 DOM,"Jay Bahd, Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga, O'Kenneth","Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)"
24,Fierce,"Laycon, Reminisce, Chinko Ekun",Who Is Laycon?
25,I Want,"Chris Kaiga, Mutoriah",I Want
26,Breathe,"A-Q, Chike",GOLDEN
27,First Sermon,Black Sherif,First Sermon
28,Ye x4,"Blxckie, Nasty C",B4Now
29,Slow Wine,"Acebergtm, Mstruff",Far from Home
30,Long Way,Emtee,LOGAN
31,W.A.G (feat. Sarkodie & Youssoupha),"Rouge, Sarkodie, Youssoupha",W.A.G (feat. Sarkodie & Youssoupha)
32,Winning,"Kwesi Arthur, Vic Mensa",Winning
33,Crown Of Clay,"Vector, MI Abaga, Pheelz",Crown Of Clay
34,Nikwa Ni Shoke,Khaligraph Jones,Nikwa Ni Shoke
35,Ama,Medikal,Ama
36,Wavy (feat. Sarkodie),"Khaligraph Jones, Sarkodie",Wavy (feat. Sarkodie)
37,Sinner,"Smallgod, Headie One, O'Kenneth, Kwaku DMC, Lp2loose",Sinner
38,Sore (Remix),"Yaw Tog, Stormzy, Kwesi Arthur",Sore (Remix)
39,Village To City,"Alpha Bankz, Khountri Boss",The Village Dream
40,Dumelang,Tumi Tladi,Dumelang
41,K:HOVA,K.O,K:HOVA
42,East To West,"Dremo, Jeriq",Ea$t N We$t
43,Yea Yea Yea,Boutross,Yea Yea Yea
44,"Loose Guard (I See, I Saw) (Remix)","Legendary Styles, Falz","Loose Guard (I See, I Saw) (Remix)"
45,Tsele,"Stino Le Thwenny, Kwesta",Tsele
46,Another Level,Olamide,Carpe Diem
47,Happy Day,"Sarkodie, Kuami Eugene",Happy Day
48,Lemme Know (Remix),"LADIPOE, Teni",Lemme Know (Remix)
49,Why Would I Lie,DAP The Contract,I'm Glad You Made It This Far
50,Ponky,Kagwe Mungai,Ponky
