rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Faith,Pop Smoke,1,4,1,1,1,2,3,1.8571428571428572
2,High Tension 2.0,Dangbana Republik,2,2,2,3,3,6,9,3.857142857142857
3,LV N ATTN,Lojay,10,4,4,2,4,4,23,7.285714285714286
4,UY Scuti,Olamide,12,5,5,18,14,12,22,12.571428571428571
5,Made In Lagos,Wizkid,22,8,8,21,8,14,19,14.285714285714286
6,PANDEMIC,Ruger,23,3,3,19,5,87,15,22.142857142857142
7,The Voice of the Heroes,Lil Baby,9,22,22,4,6,68,53,26.285714285714285
8,Love or the Word (EP),Jaywillz,24,24,24,25,26,21,43,26.714285714285715
9,A True Champion,Rexxie,17,71,71,39,13,31,64,43.714285714285715
10,African Giant,Burna Boy,34,21,21,11,20,301,14,60.285714285714285
11,All Over The Place (Platinum VIP Edition),KSI,6,7,7,10,301,84,25,62.857142857142854
12,Planet Her (Deluxe),Doja Cat,11,17,17,15,301,19,63,63.285714285714285
13,Clone Wars Vol. 5 - The Algorhythm,Show Dem Camp,7,42,42,301,7,18,31,64.0
14,ROOTS,The Cavemen.,301,15,15,5,34,5,84,65.57142857142857
15,Culture III,Migos,29,26,26,301,12,20,52,66.57142857142857
16,Somewhere Between Beauty & Magic,Joeboy,48,31,31,301,16,13,26,66.57142857142857
17,Space Jam: A New Legacy (Original Motion Picture Soundtrack),Various Artists,5,9,9,97,11,301,49,68.71428571428571
18,Hall of Fame,POLO G,8,10,10,17,97,301,51,70.57142857142857
19,2 in 1,Darkoo,3,34,34,301,90,24,30,73.71428571428571
20,PSYCHODRAMA,Dave,32,60,60,48,10,301,13,74.85714285714286
21,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,301,16,16,55,31,61,67,78.14285714285714
22,SOUR,Olivia Rodrigo,18,50,50,301,23,72,87,85.85714285714286
23,Twice As Tall,Burna Boy,16,95,95,31,73,15,301,89.42857142857143
24,Roots,NSG,81,98,98,34,78,27,301,102.42857142857143
25,Justice,Justin Bieber,47,25,25,301,15,301,35,107.0
26,What Have We Done,Omah lay,301,12,12,23,301,80,28,108.14285714285714
27,Fallen Embers,Illenium,13,41,41,301,22,301,69,112.57142857142857
28,APOLLO,Fireboy Dml,21,37,37,301,301,10,83,112.85714285714286
29,Welcome To The Madhouse (Deluxe),Tones and I,301,65,65,14,301,71,16,119.0
30,KHALED KHALED,DJ Khaled,19,53,53,301,27,81,301,119.28571428571429
31,Wild West,Central Cee,301,29,29,301,29,52,99,120.0
32,Scorpion,Drake,68,61,61,301,21,49,301,123.14285714285714
33,Superstar,Wizkid,63,64,64,12,94,301,301,128.42857142857142
34,Death Race For Love,Juice Wrld,301,74,74,50,41,301,88,132.71428571428572
35,A Better Time,DaVido,301,91,91,301,32,56,89,137.28571428571428
36,Childish II,SaveMilli,26,18,18,301,40,301,301,143.57142857142858
37,Zulu Man With Some Power,Nasty C,301,13,13,301,72,8,301,144.14285714285714
38,SoulFly,Rod Wave,301,11,11,301,63,301,24,144.57142857142858
39,High Tension,Bella Shmurda,14,44,44,301,301,301,46,150.14285714285714
40,Boyfriend,CKay,59,30,30,301,30,301,301,150.28571428571428
41,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists,31,28,28,301,301,301,66,150.85714285714286
42,"Laughter, Tears & Goosebumps",Fireboy Dml,76,301,301,6,53,29,301,152.42857142857142
43,WONDALAND,Teni,42,301,301,13,28,88,301,153.42857142857142
44,The Off-Season,J. Cole,20,301,301,58,301,75,18,153.42857142857142
45,The Human Condition,Jon Bellion,33,52,52,301,48,301,301,155.42857142857142
46,Please Excuse Me for Being Antisocial,Roddy Ricch,301,69,69,38,9,301,301,155.42857142857142
47,lately I feel EVERYTHING,Willow,44,301,301,16,88,301,39,155.71428571428572
48,YS Collection Vol. 1,Logic,43,72,72,301,301,301,33,160.42857142857142
49,Legends Never Die,Juice Wrld,301,94,94,32,301,301,17,162.85714285714286
50,CLOUDS (THE MIXTAPE),NF,41,83,83,301,301,301,56,166.57142857142858
51,THE GOAT,POLO G,38,99,99,301,301,301,32,167.28571428571428
52,Dark Lane Demo Tapes,Drake,80,92,92,35,301,301,301,171.71428571428572
53,Faith (Deluxe),Pop Smoke,301,301,301,301,1,2,8,173.57142857142858
54,For Broken Ears,Tems,301,35,35,301,301,26,301,185.71428571428572
55,Light,MohBad,40,32,32,301,301,301,301,186.85714285714286
56,"Afro Pop, Vol. 1",Adekunle Gold,301,301,301,30,35,41,301,187.14285714285714
57,SoundMan Vol. 1,Starboy,36,301,301,8,65,301,301,187.57142857142858
58,Back of My Mind,H.E.R.,25,51,51,301,301,301,301,190.14285714285714
59,Sex Over Love,Blaqbonez,301,23,23,301,301,301,85,190.71428571428572
60,Planet Her,Doja Cat,301,19,19,301,95,301,301,191.0
61,Goodbye & Good Riddance (Anniversary Edition),Juice Wrld,301,46,46,301,301,69,301,195.0
62,The Voice (Deluxe),Lil Durk,301,54,54,301,301,53,301,195.0
63,beerbongs & bentleys,Post Malone,301,301,301,47,301,79,42,196.0
64,Top,YoungBoy Never Broke Again,97,36,36,301,301,301,301,196.14285714285714
65,Cultural Praise,KCee,61,301,301,26,301,85,301,196.57142857142858
66,East Atlanta Love Letter,6lack,69,301,301,301,25,301,79,196.71428571428572
67,Vince Staples,Vince Staples,87,301,301,56,39,301,301,198.0
68,ASTROWORLD,Travis Scott,301,76,76,301,37,301,301,199.0
69,Hopeless Romantic,Tomi Thomas,301,47,47,301,99,301,301,199.57142857142858
70,The King Is Coming,Nathaniel Bassey,301,48,48,301,301,97,301,199.57142857142858
71,\u00f7 (Deluxe),Ed Sheeran,301,78,78,301,301,40,301,200.0
72,All My Demons Greeting Me As A Friend (Deluxe),AURORA,301,63,63,301,301,74,301,200.57142857142858
73,Ayra Starr,Ayra Starr,51,301,301,301,301,58,94,201.0
74,Studying Abroad: Extended Stay,Masego,301,80,80,60,301,301,301,203.42857142857142
75,Get Layd,Omah lay,301,86,86,57,301,301,301,204.71428571428572
76,Send Them To Coventry,Pa Salieu,301,68,68,301,301,301,95,205.0
77,Therapy Session,NF,301,79,79,301,301,73,301,205.0
78,Budweiser (Remix),Various Artists,56,97,97,301,301,301,301,207.71428571428572
