Rank,Previous Rank,song,artist,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Feeling,LADIPOE & Buju,7,184227,4.50%,https://www.youtube.com/watch?v=DfLS0A5IAhk
2,7,Rock,Olamide,6,161032,16.20%,https://www.youtube.com/watch?v=6WkxiF7nnjY
3,3,Jennifer,Guchi,6,145223,-6.40%,https://www.youtube.com/watch?v=y3bQfOAsnY0
4,6,Bounce,Ruger,7,141908,1%,https://www.youtube.com/watch?v=I9tqmugh2X8
5,1,Soundgasm,Rema,2,129909,-51.50%,https://www.youtube.com/watch?v=nrTkERuwdCc
6,5,Running (To You),Chike & Simi,19,120489,-15.20%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
7,9,Show Me,Joeboy,10,90167,-18.10%,https://www.youtube.com/watch?v=F0KN8cgHC8g
8,8,Forever (Remix),Gyakie & Omah Lay,24,84499,-24.20%,https://www.youtube.com/watch?v=q5URc13jOv0
9,10,Jehovah Overdo,Chidinma,7,78807,-11.80%,https://www.youtube.com/watch?v=jgcXR4U4kEc
10,4,Roju,Chike,23,76672,-48.70%,https://www.youtube.com/watch?v=4zhoggq0sZA
11,11,Essence (feat. Tems),Wizkid,32,75369,-7.40%,https://www.youtube.com/watch?v=jipQpjUA_o8
12,37,Ameno,ERA,6,70622,67.20%,https://www.youtube.com/watch?v=onjPLuZp6hY
13,14,Godly,Omah Lay,31,68811,-5.60%,https://www.youtube.com/watch?v=DqUd72pK15Y
14,13,FOR YOU (feat. Davido),Teni,19,68556,-8%,https://www.youtube.com/watch?v=Y5QUVma7_g4
15,18,Outside,Buju,5,68004,17.20%,https://www.youtube.com/watch?v=3A3MiNlX6II
16,12,La La (feat. CKay),Davido,12,65585,-12.90%,https://www.youtube.com/watch?v=NM8cY2VzqkI
17,,Somebody (feat. Phyno),Olamide,1,63129,,https://www.youtube.com/watch?v=XKUcNvSWv-o
18,16,Ke Star (Remix),Focalistic & Davido,18,58859,-4.20%,https://www.youtube.com/watch?v=oQKKCXXRcKE
19,,Need For Speed,Olamide,1,56974,,https://www.youtube.com/watch?v=9UMu53Raq2Y
20,,Whine,Gyakie,1,53912,,https://www.youtube.com/watch?v=T9tdMPvd0bk
21,17,Bounse,Rema,17,51953,-15.20%,https://www.youtube.com/watch?v=xxMTgqNjZGo
22,24,In My Maserati,Olakira,47,50546,-1%,https://www.youtube.com/watch?v=QEPmDnVkLzg
23,21,Dimension (feat. Skepta & Rema),JAE5,14,50531,-6.90%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
24,15,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ Millions,10,49626,-30.90%,https://www.youtube.com/watch?v=BS3HgiHPYcs
25,25,Cash App,"Bella Shmurda, Zlatan & Lincoln",37,49053,-1.90%,https://www.youtube.com/watch?v=n1S66UhdIwA
26,23,KPK (Ko Por Ke),Rexxie & Mohbad,29,47743,-7%,https://www.youtube.com/watch?v=rs7PiGxBShs
27,,Jailer (feat. Jaywillz),Olamide,1,46527,,https://www.youtube.com/watch?v=GpJMN1F3OSY
28,26,Onyedikagi (feat. Glowrie),Mercy Chinwo,9,46454,-6.60%,https://www.youtube.com/watch?v=o4pm6f5zv4I
29,29,Coming,Naira Marley & Busiswa,14,46007,-5.80%,https://www.youtube.com/watch?v=dAhmUNl62mc
30,28,Bling (feat. Amaarae & Buju),Blaqbonez,9,45489,-7.20%,https://www.youtube.com/watch?v=JJsCz_1ib30
31,20,History,Cheque & Fireboy DML,11,45125,-20.40%,https://www.youtube.com/watch?v=n1FIQVk1JEE
32,31,It Is What It Is,Adekunle Gold,8,43849,-4.60%,https://www.youtube.com/watch?v=fgNKzf92gNo
33,,Julie,Olamide,1,41285,,https://www.youtube.com/watch?v=jMKe2wR1ABA
34,36,Kilometre,Burna Boy,9,39653,-7.20%,https://www.youtube.com/watch?v=eKv5CBr-kKo
35,39,Felony,--,21,39093,-4.70%,https://www.youtube.com/watch?v=URISA3m0OfA
36,35,High Way (feat. Phyno),Dj Kaywise,27,38814,-9.30%,https://www.youtube.com/watch?v=eVq3ijdk0E8
37,44,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,34,38561,-1.20%,https://www.youtube.com/watch?v=psieSr_bu8o
38,,PonPon (feat. FAVE),Olamide,1,37708,,https://www.youtube.com/watch?v=uuDN6TeeG-I
39,,Celebrate Me,Patoranking,1,36828,,https://www.youtube.com/watch?v=cbmNhdpxnIY
40,43,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,24,35964,-8.70%,https://www.youtube.com/watch?v=jPZsU17Z5T8
41,38,Focus,Joeboy,20,35468,-15.70%,https://www.youtube.com/watch?v=X8NGfvelGy4
42,41,Ginger (feat. Burna Boy),Wizkid,34,35396,-10.50%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
43,,Rough Up (feat. Layydoe),Olamide,1,35218,,https://www.youtube.com/watch?v=1XaB5a2SNK4
44,46,Enjoy,Tekno,28,35180,-9.20%,https://www.youtube.com/watch?v=vnaykXFFXgg
45,,Ball If I Want To,DaBaby,1,35042,,https://www.youtube.com/watch?v=_Rzm7cPzVUo
46,42,The Best (feat. Mayorkun),Davido,32,34896,-11.40%,https://www.youtube.com/watch?v=91D1H29rToQ
47,,Banga,D'banj,1,34887,,https://www.youtube.com/watch?v=OOk-FUWHuWA
48,,Bigger Everyday (Live),"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens & Temple",29,34765,,https://www.youtube.com/watch?v=SuQWzw2qcmo
49,,Triumphant (feat. Bella Shmurda),Olamide,31,34490,,https://www.youtube.com/watch?v=4kkKRGrPRAQ
50,50,Southy Love (feat. Fireboy DML),Peruzzi,23,33782,-8.20%,https://www.youtube.com/watch?v=92St1TBJL2E
51,40,Somebody Baby,Peruzzi & Davido,14,33323,-18%,https://www.youtube.com/watch?v=anYV459bfmM
52,54,Butter,BTS,5,33292,3.80%,https://www.youtube.com/watch?v=WMweEpGlu_U
53,72,PEPE,L.A.X & Davido,2,32577,35.30%,https://www.youtube.com/watch?v=DMLF8-2wgIY
54,,Legit,Angela Okorie,2,31933,,https://www.youtube.com/watch?v=lc5u-DCtqOY
55,53,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,13,31717,-2.70%,https://www.youtube.com/watch?v=mC-zw0zCCtg
56,30,Pempe (Live),Seyi Shay & --,3,30066,-36.30%,https://www.youtube.com/watch?v=xCvOUDN7Gtc
57,52,Pronto,Ajebo Hustlers & Omah Lay,19,29954,-12.10%,https://www.youtube.com/watch?v=s1Rs5Ew71FY
58,,Cup of Tea,Olamide,1,29782,,https://www.youtube.com/watch?v=iTwfRw40uqc
59,32,Cho Cho (feat. Davido & Mayorkun),Zlatan,8,29690,-32.70%,https://www.youtube.com/watch?v=XdclVBcpmdg
60,57,Early Momo,Vector & Good Girl La,13,28560,-4.30%,https://www.youtube.com/watch?v=PU2dnlpQNOg
61,48,MONTERO (Call Me By Your Name),Lil Nas X,13,28176,-26.20%,https://www.youtube.com/watch?v=6swmTBVI83k
62,65,KOLO (feat. Oxlade),Ice Prince,15,27264,3%,https://www.youtube.com/watch?v=Ts19iSWEvds
63,51,Too Correct (feat. Rema),Crayon,12,27000,-23.60%,https://www.youtube.com/watch?v=FRQsG8WKETg
64,59,World,Dangbana Republik & Bella Shmurda,12,26574,-8.70%,https://www.youtube.com/watch?v=SbPAsVsJq7w
65,22,If E Happen for Lagos,Runtown,4,25978,-50.90%,https://www.youtube.com/watch?v=6dE1mygXWOE
66,,Want (feat. FAVE),Olamide,1,25728,,https://www.youtube.com/watch?v=pHviUezxT34
67,,So Much More,Olamide,1,25120,,https://www.youtube.com/watch?v=jNJpw0oNDtc
68,67,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,13,24828,-3.80%,https://www.youtube.com/watch?v=Qp7cb_v3_gQ
69,62,Dama,Namenj & Hamisu Breaker,16,24813,-11.30%,https://www.youtube.com/watch?v=-37FwMOcA3E
70,70,Good Woman,Flavour,14,24465,-0.90%,https://www.youtube.com/watch?v=jN0hSjZ_7fQ
71,,Rain (feat. Mzansi Youth Choir),Yemi Alade,1,24361,,https://www.youtube.com/watch?v=ERMoAHnf2Vw
72,,Berna (feat. Fally Ipupa & Tekno),Flavour,2,24299,,https://www.youtube.com/watch?v=WFAVvwb8xhA
73,55,Save Your Tears,The Weeknd,18,23905,-24%,https://www.youtube.com/watch?v=XXYlFuWEuKI
